seed,delta_after_rocket_fw,delta_after_crane_fw,delta_final_fw,delta_after_rocket_ratio_pp,delta_after_crane_ratio_pp,delta_final_ratio_pp,retention_fw_(after_crane_minus_after_rocket_delta),baseline_final_ratio_%,seke_final_ratio_%,baseline_csv,seke_csv
1,58724.0,53047.0,53047.0,0.14011214554750495,0.12656714435084382,0.12656714435084382,-5677.0,80.0666589664317,80.19322611078255,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed1_lam0_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed1_lam0p5_ranking.csv
2,47468.0,39622.0,39622.0,0.11325596561626128,0.0945358529882725,0.0945358529882725,-7846.0,80.10850841525848,80.20304426824676,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed2_lam0_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed2_lam0p5_ranking.csv
3,50662.0,43755.0,43755.0,0.1208766691255505,0.10439695743531274,0.10439695743531274,-6907.0,80.11574975375274,80.22014671118805,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed3_lam0_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed3_lam0p5_ranking.csv
4,39356.0,37921.0,37921.0,0.09390119201975722,0.09047736311060817,0.09047736311060817,-1435.0,80.09773588039799,80.1882132435086,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed4_lam0_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed4_lam0p5_ranking.csv
5,54967.0,46527.0,46527.0,0.13114815585298345,0.11101079279151804,0.11101079279151804,-8440.0,80.05000508086667,80.16101587365819,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed5_lam0_ranking.csv,./seke_ablation_outputs/connectome_seke_rocketcrane_cycle_seed5_lam0p5_ranking.csv
