seed,n,m,objective,lambda_mode,lambda_init,lambda_eta,lambda_max,lambda_final,stab_normalize,stab_margin,eval_every,stab_every,ratio_final_%,final_fw,final_bw,total_w,iters_done,t_total_s,stab_calls,stab_time_s,eval_calls,eval_time_s,out_csv,tag
3,136648,5657719,swap,fixed,0.0,0.0,0.0,0.0,True,0.0,1000,5,81.46827148410938,34145096.0,7767044.0,41912140.0,1336,120.5332465171814,0,0.0,2,0.0565032958984375,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0_seed3_ranking.csv,swap_fixed_norm1_lam0_seed3
1,136648,5657719,swap,fixed,0.01,0.0,0.0,0.01,True,0.0,1000,5,80.90051235751741,33907136.0,8005004.0,41912140.0,830,120.74099087715149,166,44.88424015045166,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p01_seed1_ranking.csv,swap_fixed_norm1_lam0p01_seed1
2,136648,5657719,swap,fixed,0.01,0.0,0.0,0.01,True,0.0,1000,5,80.9305179835723,33919712.0,7992428.0,41912140.0,840,120.71425247192383,168,43.86589574813843,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p01_seed2_ranking.csv,swap_fixed_norm1_lam0p01_seed2
3,136648,5657719,swap,fixed,0.01,0.0,0.0,0.01,True,0.0,1000,5,80.919981656866,33915296.0,7996844.0,41912140.0,830,120.80841755867004,166,44.95515823364258,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p01_seed3_ranking.csv,swap_fixed_norm1_lam0p01_seed3
1,136648,5657719,swap,fixed,0.03,0.0,0.0,0.03,True,0.0,1000,5,80.86441780352901,33892008.0,8020132.0,41912140.0,829,120.54550766944885,165,44.663602352142334,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p03_seed1_ranking.csv,swap_fixed_norm1_lam0p03_seed1
2,136648,5657719,swap,fixed,0.03,0.0,0.0,0.03,True,0.0,1000,5,80.87800813797625,33897704.0,8014436.0,41912140.0,829,120.48391890525818,165,44.68648099899292,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p03_seed2_ranking.csv,swap_fixed_norm1_lam0p03_seed2
3,136648,5657719,swap,fixed,0.03,0.0,0.0,0.03,True,0.0,1000,5,80.89252421851998,33903788.0,8008352.0,41912140.0,829,120.47705841064453,165,44.699167013168335,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p03_seed3_ranking.csv,swap_fixed_norm1_lam0p03_seed3
1,136648,5657719,swap,fixed,0.1,0.0,0.0,0.1,True,0.0,1000,5,80.72430565463848,33833284.0,8078856.0,41912140.0,830,120.77814197540283,166,44.95081448554993,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p1_seed1_ranking.csv,swap_fixed_norm1_lam0p1_seed1
2,136648,5657719,swap,fixed,0.1,0.0,0.0,0.1,True,0.0,1000,5,80.72481147467059,33833496.0,8078644.0,41912140.0,830,120.79593658447266,166,44.937649965286255,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p1_seed2_ranking.csv,swap_fixed_norm1_lam0p1_seed2
3,136648,5657719,swap,fixed,0.1,0.0,0.0,0.1,True,0.0,1000,5,80.75575239059614,33846464.0,8065676.0,41912140.0,830,120.72439956665039,166,44.89775991439819,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p1_seed3_ranking.csv,swap_fixed_norm1_lam0p1_seed3
1,136648,5657719,swap,fixed,0.3,0.0,0.0,0.3,True,0.0,1000,5,80.3758338276213,33687232.0,8224908.0,41912140.0,830,120.77645659446716,166,44.96291947364807,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p3_seed1_ranking.csv,swap_fixed_norm1_lam0p3_seed1
2,136648,5657719,swap,fixed,0.3,0.0,0.0,0.3,True,0.0,1000,5,80.34071273860032,33672512.0,8239628.0,41912140.0,830,120.71462726593018,166,44.92402768135071,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p3_seed2_ranking.csv,swap_fixed_norm1_lam0p3_seed2
3,136648,5657719,swap,fixed,0.3,0.0,0.0,0.3,True,0.0,1000,5,80.38350702207046,33690448.0,8221692.0,41912140.0,829,120.47137975692749,165,44.66837453842163,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam0p3_seed3_ranking.csv,swap_fixed_norm1_lam0p3_seed3
1,136648,5657719,swap,fixed,1.0,0.0,0.0,1.0,True,0.0,1000,5,79.7259600678944,33414856.0,8497284.0,41912140.0,839,120.52727961540222,167,43.64120125770569,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam1_seed1_ranking.csv,swap_fixed_norm1_lam1_seed1
2,136648,5657719,swap,fixed,1.0,0.0,0.0,1.0,True,0.0,1000,5,79.65853330323863,33386596.0,8525544.0,41912140.0,817,120.53128552436829,163,44.7647488117218,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam1_seed2_ranking.csv,swap_fixed_norm1_lam1_seed2
3,136648,5657719,swap,fixed,1.0,0.0,0.0,1.0,True,0.0,1000,5,79.68245000135998,33396620.0,8515520.0,41912140.0,829,120.47650027275085,165,44.71340250968933,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam1_seed3_ranking.csv,swap_fixed_norm1_lam1_seed3
1,136648,5657719,swap,fixed,3.0,0.0,0.0,3.0,True,0.0,1000,5,78.5755821582959,32932708.0,8979432.0,41912140.0,828,120.52549362182617,165,44.74703764915466,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam3_seed1_ranking.csv,swap_fixed_norm1_lam3_seed1
2,136648,5657719,swap,fixed,3.0,0.0,0.0,3.0,True,0.0,1000,5,78.55668548539875,32924788.0,8987352.0,41912140.0,822,120.50938725471497,164,44.71944570541382,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam3_seed2_ranking.csv,swap_fixed_norm1_lam3_seed2
3,136648,5657719,swap,fixed,3.0,0.0,0.0,3.0,True,0.0,1000,5,78.56333749600951,32927576.0,8984564.0,41912140.0,825,120.6220269203186,165,44.868030071258545,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam3_seed3_ranking.csv,swap_fixed_norm1_lam3_seed3
1,136648,5657719,swap,fixed,10.0,0.0,0.0,10.0,True,0.0,1000,5,76.58371059077393,32097872.0,9814268.0,41912140.0,829,120.50585961341858,165,44.669801235198975,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam10_seed1_ranking.csv,swap_fixed_norm1_lam10_seed1
2,136648,5657719,swap,fixed,10.0,0.0,0.0,10.0,True,0.0,1000,5,76.52823263140465,32074620.0,9837520.0,41912140.0,830,120.7439591884613,166,44.95027017593384,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam10_seed2_ranking.csv,swap_fixed_norm1_lam10_seed2
3,136648,5657719,swap,fixed,10.0,0.0,0.0,10.0,True,0.0,1000,5,76.55883474334644,32087446.0,9824694.0,41912140.0,829,120.53168201446533,165,44.69816446304321,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_fixed_norm1_lam10_seed3_ranking.csv,swap_fixed_norm1_lam10_seed3
1,136648,5657719,swap,dual,0.01,1e-06,100.0,0.24700145280757635,True,0.0,1000,5,80.72866715944355,33835112.0,8077028.0,41912140.0,830,120.76442193984985,166,44.93351459503174,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_dual_norm1_lam0_0p01_eta1em06_seed1_ranking.csv,swap_dual_norm1_lam0_0p01_eta1em06_seed1
2,136648,5657719,swap,dual,0.01,1e-06,100.0,0.24751469045740476,True,0.0,1000,5,80.75336644704852,33845464.0,8066676.0,41912140.0,829,120.51005506515503,165,44.663825273513794,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_dual_norm1_lam0_0p01_eta1em06_seed2_ranking.csv,swap_dual_norm1_lam0_0p01_eta1em06_seed2
3,136648,5657719,swap,dual,0.01,1e-06,100.0,0.2473226052760255,True,0.0,1000,5,80.75042696459785,33844232.0,8067908.0,41912140.0,828,120.49000239372253,165,44.673845052719116,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_swap_dual_norm1_lam0_0p01_eta1em06_seed3_ranking.csv,swap_dual_norm1_lam0_0p01_eta1em06_seed3
