seed,n,m,objective,lambda_mode,lambda_init,lambda_eta,lambda_max,lambda_final,stab_normalize,stab_margin,eval_every,stab_every,ratio_final_%,final_fw,final_bw,total_w,iters_done,t_total_s,stab_calls,stab_time_s,eval_calls,eval_time_s,out_csv,tag
2,136648,5657719,hinge2,fixed,1.0,0.0,0.0,1.0,True,0.0,1000,5,79.98581795155295,33523768.0,8388372.0,41912140.0,825,120.64407062530518,165,44.91411757469177,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_fixed_norm1_lam1_seed2_ranking.csv,hinge2_fixed_norm1_lam1_seed2
3,136648,5657719,hinge2,fixed,1.0,0.0,0.0,1.0,True,0.0,1000,5,80.0015938102898,33530380.0,8381760.0,41912140.0,825,120.77058172225952,165,44.97403120994568,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_fixed_norm1_lam1_seed3_ranking.csv,hinge2_fixed_norm1_lam1_seed3
1,136648,5657719,hinge2,fixed,3.0,0.0,0.0,3.0,True,0.0,1000,5,79.39377946342039,33275632.0,8636508.0,41912140.0,825,120.7477810382843,165,44.95120286941528,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_fixed_norm1_lam3_seed1_ranking.csv,hinge2_fixed_norm1_lam3_seed1
2,136648,5657719,hinge2,fixed,3.0,0.0,0.0,3.0,True,0.0,1000,5,79.39971569096687,33278120.0,8634020.0,41912140.0,824,120.46247434616089,164,44.77351665496826,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_fixed_norm1_lam3_seed2_ranking.csv,hinge2_fixed_norm1_lam3_seed2
3,136648,5657719,hinge2,fixed,3.0,0.0,0.0,3.0,True,0.0,1000,5,79.40056031498273,33278474.0,8633666.0,41912140.0,825,120.78425288200378,165,44.984270095825195,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_fixed_norm1_lam3_seed3_ranking.csv,hinge2_fixed_norm1_lam3_seed3
1,136648,5657719,hinge2,fixed,10.0,0.0,0.0,10.0,True,0.0,1000,5,78.15399547720541,32756012.0,9156128.0,41912140.0,824,120.50477147102356,164,44.808002948760986,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_fixed_norm1_lam10_seed1_ranking.csv,hinge2_fixed_norm1_lam10_seed1
2,136648,5657719,hinge2,fixed,10.0,0.0,0.0,10.0,True,0.0,1000,5,78.1920274173545,32771952.0,9140188.0,41912140.0,825,120.79601502418518,165,44.98284697532654,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_fixed_norm1_lam10_seed2_ranking.csv,hinge2_fixed_norm1_lam10_seed2
3,136648,5657719,hinge2,fixed,10.0,0.0,0.0,10.0,True,0.0,1000,5,78.16997175520028,32762708.0,9149432.0,41912140.0,825,120.82926607131958,165,45.019627809524536,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_fixed_norm1_lam10_seed3_ranking.csv,hinge2_fixed_norm1_lam10_seed3
1,136648,5657719,hinge2,dual,0.01,1e-06,100.0,0.3012886140341823,True,0.0,1000,5,80.80326129851638,33866376.0,8045764.0,41912140.0,825,120.81146240234375,165,45.04424071311951,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_dual_norm1_lam0_0p01_eta1em06_seed1_ranking.csv,hinge2_dual_norm1_lam0_0p01_eta1em06_seed1
2,136648,5657719,hinge2,dual,0.01,1e-06,100.0,0.3010451945094008,True,0.0,1000,5,80.80296544151646,33866252.0,8045888.0,41912140.0,825,120.80048775672913,165,45.02964997291565,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_dual_norm1_lam0_0p01_eta1em06_seed2_ranking.csv,hinge2_dual_norm1_lam0_0p01_eta1em06_seed2
3,136648,5657719,hinge2,dual,0.01,1e-06,100.0,0.3023426724437272,True,0.0,1000,5,80.8053418412899,33867248.0,8044892.0,41912140.0,825,120.75099802017212,165,45.06569504737854,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_hinge2_dual_norm1_lam0_0p01_eta1em06_seed3_ranking.csv,hinge2_dual_norm1_lam0_0p01_eta1em06_seed3
1,136648,5657719,softplus,fixed,0.0,0.0,0.0,0.0,True,0.0,1000,5,81.46285062036918,34142824.0,7769316.0,41912140.0,1329,120.46354985237122,0,0.0,2,0.057239532470703125,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0_seed1_ranking.csv,softplus_fixed_norm1_lam0_seed1
2,136648,5657719,softplus,fixed,0.0,0.0,0.0,0.0,True,0.0,1000,5,81.46893954830271,34145376.0,7766764.0,41912140.0,1329,120.49782872200012,0,0.0,2,0.058031558990478516,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0_seed2_ranking.csv,softplus_fixed_norm1_lam0_seed2
3,136648,5657719,softplus,fixed,0.0,0.0,0.0,0.0,True,0.0,1000,5,81.4639290668527,34143276.0,7768864.0,41912140.0,1333,120.54171180725098,0,0.0,2,0.05648064613342285,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0_seed3_ranking.csv,softplus_fixed_norm1_lam0_seed3
1,136648,5657719,softplus,fixed,0.01,0.0,0.0,0.01,True,0.0,1000,5,80.90669672319285,33909728.0,8002412.0,41912140.0,830,120.58905911445618,166,44.54316997528076,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p01_seed1_ranking.csv,softplus_fixed_norm1_lam0p01_seed1
2,136648,5657719,softplus,fixed,0.01,0.0,0.0,0.01,True,0.0,1000,5,80.92988809447573,33919448.0,7992692.0,41912140.0,834,120.50739288330078,166,44.261505126953125,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p01_seed2_ranking.csv,softplus_fixed_norm1_lam0p01_seed2
3,136648,5657719,softplus,fixed,0.01,0.0,0.0,0.01,True,0.0,1000,5,80.9100561317079,33911136.0,8001004.0,41912140.0,821,120.50198459625244,164,45.35431933403015,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p01_seed3_ranking.csv,softplus_fixed_norm1_lam0p01_seed3
1,136648,5657719,softplus,fixed,0.03,0.0,0.0,0.03,True,0.0,1000,5,80.87059262543025,33894596.0,8017544.0,41912140.0,821,120.5184645652771,164,45.34964680671692,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p03_seed1_ranking.csv,softplus_fixed_norm1_lam0p03_seed1
2,136648,5657719,softplus,fixed,0.03,0.0,0.0,0.03,True,0.0,1000,5,80.88995694326275,33902712.0,8009428.0,41912140.0,820,120.51123189926147,164,45.39236378669739,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p03_seed2_ranking.csv,softplus_fixed_norm1_lam0p03_seed2
3,136648,5657719,softplus,fixed,0.03,0.0,0.0,0.03,True,0.0,1000,5,80.88449790442579,33900424.0,8011716.0,41912140.0,820,120.52611112594604,164,45.444764614105225,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p03_seed3_ranking.csv,softplus_fixed_norm1_lam0p03_seed3
1,136648,5657719,softplus,fixed,0.1,0.0,0.0,0.1,True,0.0,1000,5,80.75747026995043,33847184.0,8064956.0,41912140.0,820,120.47632122039795,164,45.45201349258423,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p1_seed1_ranking.csv,softplus_fixed_norm1_lam0p1_seed1
2,136648,5657719,softplus,fixed,0.1,0.0,0.0,0.1,True,0.0,1000,5,80.7485754724049,33843456.0,8068684.0,41912140.0,821,120.50928521156311,164,45.45149827003479,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p1_seed2_ranking.csv,softplus_fixed_norm1_lam0p1_seed2
3,136648,5657719,softplus,fixed,0.1,0.0,0.0,0.1,True,0.0,1000,5,80.76378824846452,33849832.0,8062308.0,41912140.0,822,120.50334239006042,164,45.342660665512085,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p1_seed3_ranking.csv,softplus_fixed_norm1_lam0p1_seed3
1,136648,5657719,softplus,fixed,0.3,0.0,0.0,0.3,True,0.0,1000,5,80.44397637534136,33715792.0,8196348.0,41912140.0,822,120.476389169693,164,45.352983713150024,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p3_seed1_ranking.csv,softplus_fixed_norm1_lam0p3_seed1
2,136648,5657719,softplus,fixed,0.3,0.0,0.0,0.3,True,0.0,1000,5,80.40389252374133,33698992.0,8213148.0,41912140.0,822,120.5267505645752,164,45.38991045951843,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p3_seed2_ranking.csv,softplus_fixed_norm1_lam0p3_seed2
3,136648,5657719,softplus,fixed,0.3,0.0,0.0,0.3,True,0.0,1000,5,80.43753432776279,33713092.0,8199048.0,41912140.0,822,120.53508925437927,164,45.41852641105652,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam0p3_seed3_ranking.csv,softplus_fixed_norm1_lam0p3_seed3
1,136648,5657719,softplus,fixed,1.0,0.0,0.0,1.0,True,0.0,1000,5,79.88660087506865,33482184.0,8429956.0,41912140.0,822,120.50461649894714,164,45.3067901134491,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam1_seed1_ranking.csv,softplus_fixed_norm1_lam1_seed1
2,136648,5657719,softplus,fixed,1.0,0.0,0.0,1.0,True,0.0,1000,5,79.87994886445789,33479396.0,8432744.0,41912140.0,820,120.59535264968872,164,45.37134790420532,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam1_seed2_ranking.csv,softplus_fixed_norm1_lam1_seed2
3,136648,5657719,softplus,fixed,1.0,0.0,0.0,1.0,True,0.0,1000,5,79.87754860524898,33478390.0,8433750.0,41912140.0,823,120.54929113388062,164,45.25751566886902,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam1_seed3_ranking.csv,softplus_fixed_norm1_lam1_seed3
1,136648,5657719,softplus,fixed,3.0,0.0,0.0,3.0,True,0.0,1000,5,79.2706838639115,33224040.0,8688100.0,41912140.0,822,120.48281836509705,164,45.29579019546509,1,0.0,/mmfs1/home/sv96/Feedback-arc-set-paper/datasets/yiannis_rocket_only_outputs/connectome_Seke_softplus_fixed_norm1_lam3_seed1_ranking.csv,softplus_fixed_norm1_lam3_seed1
