objective,lambda_mode,stab_normalize,lambda_init,lambda_eta,lambda_max,stab_margin,eval_every,stab_every,mean_final_ratio,std_final_ratio,mean_total_s,mean_stab_time_s,mean_eval_time_s,runs
baseline,fixed,True,0.0,0.0,0.0,0.0,1000,5,81.45507244440394,0.00609464702451646,120.49556700388591,0.0,0.057877143224080406,3
hinge2,dual,True,0.01,1e-06,100.0,0.0,1000,5,80.80385619377425,0.001295084648458811,120.78764939308167,45.046528577804565,0.0,3
hinge2,fixed,True,0.0,0.0,0.0,0.0,1000,5,81.45801828937073,0.007064290653331225,120.49155378341675,0.0,0.05804038047790527,3
hinge2,fixed,True,0.01,0.0,0.0,0.0,1000,5,80.89842545222776,0.013424173624567293,120.57588442166646,45.285714070002236,0.0,3
hinge2,fixed,True,0.03,0.0,0.0,0.0,1000,5,80.8527234988876,0.06124071264742652,120.57052294413249,46.553076346715294,0.0,3
hinge2,fixed,True,0.1,0.0,0.0,0.0,1000,5,80.76644778020561,0.0135879225983544,120.7368814945221,44.30426176389059,0.0,3
hinge2,fixed,True,0.3,0.0,0.0,0.0,1000,5,80.4631020988191,0.01904922984017881,120.69725100199382,44.94661625226339,0.0,3
hinge2,fixed,True,1.0,0.0,0.0,0.0,1000,5,79.98640807492372,0.014899441159310082,120.69536415735881,44.9446976184845,0.0,3
hinge2,fixed,True,3.0,0.0,0.0,0.0,1000,5,79.39801848978999,0.0036953153930015616,120.66483608881633,44.90299654006958,0.0,3
hinge2,fixed,True,10.0,0.0,0.0,0.0,1000,5,78.17199821658673,0.019096780545135122,120.7100175221761,44.93682591120402,0.0,3
softplus,dual,True,0.01,1e-06,100.0,0.0,1000,5,80.78735818945695,0.003079924442270165,120.51225892702739,45.347947200139366,0.0,3
softplus,fixed,True,0.0,0.0,0.0,0.0,1000,5,81.46523974517487,0.003249179756965183,120.50103012720744,0.0,0.0572505791982015,3
softplus,fixed,True,0.01,0.0,0.0,0.0,1000,5,80.9155469831255,0.01253283736679794,120.53281219800313,44.71966481208801,0.0,3
softplus,fixed,True,0.03,0.0,0.0,0.0,1000,5,80.8816824910396,0.009984443684094218,120.51860253016154,45.395591735839844,0.0,3
softplus,fixed,True,0.1,0.0,0.0,0.0,1000,5,80.75661133027329,0.0076426743936139135,120.49631627400716,45.41539080937704,0.0,3
softplus,fixed,True,0.3,0.0,0.0,0.0,1000,5,80.42846774228182,0.02152512529547808,120.51274299621582,45.38714019457499,0.0,3
softplus,fixed,True,1.0,0.0,0.0,0.0,1000,5,79.88136611492517,0.0046895998109987265,120.5497534275055,45.31188456217448,0.0,3
softplus,fixed,True,3.0,0.0,0.0,0.0,1000,5,79.27026711910518,0.020770388521317105,120.5165421962738,45.34614976247152,0.0,3
softplus,fixed,True,10.0,0.0,0.0,0.0,1000,5,78.70772207447929,0.01477969939684039,120.49441679318745,45.322322607040405,0.0,3
swap,dual,True,0.01,1e-06,100.0,0.0,1000,5,80.74415352369664,0.013491877097133705,120.5881597995758,44.75706164042155,0.0,3
swap,fixed,True,0.0,0.0,0.0,0.0,1000,5,81.47126504794713,0.004642262206353312,120.5008316040039,0.0,0.056426286697387695,3
swap,fixed,True,0.01,0.0,0.0,0.0,1000,5,80.91700399931857,0.015222819452670677,120.75455363591512,44.56843137741089,0.0,3
swap,fixed,True,0.03,0.0,0.0,0.0,1000,5,80.87831672000841,0.0140557482214295,120.50216166178386,44.68308345476786,0.0,3
swap,fixed,True,0.1,0.0,0.0,0.0,1000,5,80.73495650663507,0.018011539516877683,120.76615937550862,44.928741455078125,0.0,3
swap,fixed,True,0.3,0.0,0.0,0.0,1000,5,80.3666845294307,0.02281709704292739,120.65415453910828,44.8517738978068,0.0,3
swap,fixed,True,1.0,0.0,0.0,0.0,1000,5,79.68898112416434,0.03418455531085099,120.51168847084045,44.373117526372276,0.0,3
swap,fixed,True,3.0,0.0,0.0,0.0,1000,5,78.56520171323471,0.009585277306509897,120.55230259895325,44.778171141942344,0.0,3
swap,fixed,True,10.0,0.0,0.0,0.0,1000,5,76.55692598850834,0.02778818998637659,120.59383360544841,44.772745291392006,0.0,3
